experiment_idx,weights,weights_str,cv_score,test_roc_auc,test_accuracy,test_f1,test_precision,test_recall,threshold,train_pos_rate,test_pos_rate,weight_fare_efficiency,weight_time_efficiency,weight_distance_score,weight_time_premium,weight_rating_bonus,weight_wait_penalty,weight_duration_efficiency
163,"[0.04766833679051964, 0.07249163791026005, 0.07301365864433952, 0.22515440414902685, 0.203057775195, 0.11861749927338004, 0.25999668803747394]","0.048,0.072,0.073,0.225,0.203,0.119,0.260",0.8281675013007284,0.8281375950662747,0.7441397849462366,0.738875171467764,0.75111557340473,0.7270273188640536,0.46065088570626744,0.5,0.49790322580645163,0.04766833679051964,0.07249163791026005,0.07301365864433952,0.22515440414902685,0.203057775195,0.11861749927338004,0.25999668803747394
164,"[0.06985701811920457, 0.10900273191919813, 0.32737548613486517, 0.14724314317772544, 0.03268562646215126, 0.01785988046574193, 0.29597611372111365]","0.070,0.109,0.327,0.147,0.033,0.018,0.296",0.8601298018557058,0.8599911679156582,0.7924731182795699,0.7909218936193262,0.7858142288235928,0.7960963907970777,0.4874777318670804,0.5,0.49306451612903224,0.06985701811920457,0.10900273191919813,0.32737548613486517,0.14724314317772544,0.03268562646215126,0.01785988046574193,0.29597611372111365
165,"[0.0751689505989539, 0.12434696670901337, 0.06058424531137676, 0.06076681470817977, 0.5017318631401396, 0.17279920913149122, 0.004601950400845312]","0.075,0.124,0.061,0.061,0.502,0.173,0.005",0.9470033421493815,0.9468921020455773,0.8665591397849463,0.8667310996563574,0.863485610356264,0.8700010779346772,0.5348492747071518,0.5,0.49876344086021507,0.0751689505989539,0.12434696670901337,0.06058424531137676,0.06076681470817977,0.5017318631401396,0.17279920913149122,0.004601950400845312
166,"[0.037154073089514406, 0.08789435408082359, 0.08352609268577829, 0.038581356761189706, 0.217566852570191, 0.10908575154748433, 0.42619151926501864]","0.037,0.088,0.084,0.039,0.218,0.109,0.426",0.6715064133136778,0.6719036106341331,0.6253763440860215,0.6266609515645092,0.6206750159201868,0.6327634711101493,0.4592893954138322,0.5,0.49688172043010753,0.037154073089514406,0.08789435408082359,0.08352609268577829,0.038581356761189706,0.217566852570191,0.10908575154748433,0.42619151926501864
167,"[0.052744930690009566, 0.09018898507811629, 0.06617703972582847, 0.12852415183741453, 0.034934348359722055, 0.21385215335012625, 0.41357839095878274]","0.053,0.090,0.066,0.129,0.035,0.214,0.414",0.6669709214938142,0.662403389721107,0.6176344086021506,0.6013005942370221,0.6207894432225952,0.5829981519730405,0.4144571258414915,0.5,0.4945698924731183,0.052744930690009566,0.09018898507811629,0.06617703972582847,0.12852415183741453,0.034934348359722055,0.21385215335012625,0.41357839095878274
168,"[0.018037191447972525, 0.0011376034171700995, 0.13881033547710803, 0.20169646715185874, 0.33846110109151095, 0.13938955072393086, 0.16246775069044878]","0.018,0.001,0.139,0.202,0.338,0.139,0.162",0.9059011952248814,0.9061845837277468,0.8160215053763441,0.8151669007237766,0.8134095073838525,0.8169319042979323,0.4933616786082931,0.5,0.4966129032258065,0.018037191447972525,0.0011376034171700995,0.13881033547710803,0.20169646715185874,0.33846110109151095,0.13938955072393086,0.16246775069044878
169,"[0.1526552522698326, 0.08262299472281003, 0.5606537227624449, 0.010952220675444562, 0.019757076540182744, 0.12250080565047879, 0.05085792737880651]","0.153,0.083,0.561,0.011,0.020,0.123,0.051",0.9841878829922533,0.9830468735655563,0.9540860215053764,0.953807875378624,0.9552546045503792,0.9523655217109527,0.5199643091457662,0.5,0.49774193548387097,0.1526552522698326,0.08262299472281003,0.5606537227624449,0.010952220675444562,0.019757076540182744,0.12250080565047879,0.05085792737880651
170,"[0.40463373253758306, 0.09980804907437303, 0.053513228928814646, 0.041327252506944974, 0.22645596127630918, 0.041790838436300826, 0.13247093723967435]","0.405,0.100,0.054,0.041,0.226,0.042,0.132",0.9725413920684473,0.9723182047486448,0.9056989247311827,0.9044245858761988,0.8993281317728652,0.9095791319596668,0.5120205737294508,0.5,0.49053763440860215,0.40463373253758306,0.09980804907437303,0.053513228928814646,0.041327252506944974,0.22645596127630918,0.041790838436300826,0.13247093723967435
171,"[0.24995913565984168, 0.28217476502638716, 0.10482021173340507, 0.010311470269503792, 0.09863625555090964, 0.11875605954255755, 0.1353421022173952]","0.250,0.282,0.105,0.010,0.099,0.119,0.135",0.9407831432824605,0.9391873233665282,0.8581182795698925,0.8542713567839196,0.8590626388271879,0.8495332235035694,0.4899953734972923,0.5,0.48951612903225805,0.24995913565984168,0.28217476502638716,0.10482021173340507,0.010311470269503792,0.09863625555090964,0.11875605954255755,0.1353421022173952
172,"[0.03312063736884235, 0.5104367869589901, 0.16796456266762796, 0.01137737596186072, 0.010271168473792915, 0.07250890555098562, 0.19432056301790024]","0.033,0.510,0.168,0.011,0.010,0.073,0.194",0.8888775617123368,0.8881794471200164,0.7950537634408602,0.7849243962988038,0.8101560680177032,0.761216896476253,0.478121658702214,0.5,0.49129032258064514,0.03312063736884235,0.5104367869589901,0.16796456266762796,0.01137737596186072,0.010271168473792915,0.07250890555098562,0.19432056301790024
173,"[0.01019357739082148, 0.18981656013660222, 0.12592083633565573, 0.19633956353059517, 0.203348080726378, 0.1631143345935598, 0.11126704728638759]","0.010,0.190,0.126,0.196,0.203,0.163,0.111",0.882759643455891,0.880836618099534,0.7925268817204301,0.7886290190064085,0.7974963996898194,0.7799566630552546,0.47379614363123373,0.5,0.4962365591397849,0.01019357739082148,0.18981656013660222,0.12592083633565573,0.19633956353059517,0.203348080726378,0.1631143345935598,0.11126704728638759
174,"[0.194932087063309, 0.09313682976317347, 0.07933699556183596, 0.0698804719313266, 0.1304081261433559, 0.032475131349008604, 0.3998303581879905]","0.195,0.093,0.079,0.070,0.130,0.032,0.400",0.7683355012140132,0.7663514639915756,0.6970967741935484,0.6891414698742,0.6996414967510644,0.6789519460752338,0.4674450879321078,0.5,0.49451612903225806,0.194932087063309,0.09313682976317347,0.07933699556183596,0.0698804719313266,0.1304081261433559,0.032475131349008604,0.3998303581879905
175,"[0.2974199187084929, 0.03308205441073273, 0.23459580690547557, 0.2437435390619476, 0.024245648975899408, 0.10362843858539929, 0.06328459335205257]","0.297,0.033,0.235,0.244,0.024,0.104,0.063",0.9713117593074344,0.9698307040320321,0.9043548387096774,0.9035510978584982,0.9006701253782966,0.9064505602088546,0.48022378272517796,0.5,0.494247311827957,0.2974199187084929,0.03308205441073273,0.23459580690547557,0.2437435390619476,0.024245648975899408,0.10362843858539929,0.06328459335205257
176,"[0.04065622493489751, 0.05958685185051559, 0.2765231257356524, 0.14221758033310203, 0.07041657325225875, 0.046566467623090704, 0.3640331762704831]","0.041,0.060,0.277,0.142,0.070,0.047,0.364",0.7986857042721701,0.8011671442545255,0.7346774193548387,0.7323897836342932,0.7261290322580645,0.7387594355103381,0.4736000576959292,0.5,0.4914516129032258,0.04065622493489751,0.05958685185051559,0.2765231257356524,0.14221758033310203,0.07041657325225875,0.046566467623090704,0.3640331762704831
177,"[0.10561443612298628, 0.2070040030843856, 0.09518983106411426, 0.05116106696624088, 0.24000500131528893, 0.12388470575355097, 0.17714095569343316]","0.106,0.207,0.095,0.051,0.240,0.124,0.177",0.8772572913053533,0.8781380470003194,0.7910752688172042,0.7860603391323497,0.7922539118854733,0.7799628537091664,0.4923496060992477,0.5,0.4920967741935484,0.10561443612298628,0.2070040030843856,0.09518983106411426,0.05116106696624088,0.24000500131528893,0.12388470575355097,0.17714095569343316
178,"[0.20967419156927436, 0.285426645265729, 0.14130188389369958, 0.10821672133118476, 0.1763997596042337, 0.035886296687875324, 0.04309450164800317]","0.210,0.285,0.141,0.108,0.176,0.036,0.043",0.9685474693606195,0.968871574402651,0.8991397849462366,0.8970249204083873,0.8974190005491488,0.8966311862174915,0.5137164561941485,0.5,0.48994623655913977,0.20967419156927436,0.285426645265729,0.14130188389369958,0.10821672133118476,0.1763997596042337,0.035886296687875324,0.04309450164800317
